,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,杭州,2020-01-01,11,5,晴~小雨,东南风,1级,66,良
1,杭州,2020-01-02,11,7,阴,西北风,1级,68,良
2,杭州,2020-01-03,9,8,小雨,东北风,1级,60,良
3,杭州,2020-01-04,10,8,小雨~阴,东北风,2级,28,优
4,杭州,2020-01-05,17,11,雾~多云,东南风,2级,54,良
5,杭州,2020-01-06,24,11,雾~多云,西南风,2级,42,优
6,杭州,2020-01-07,18,4,小雨~阴,西北风,3级,60,良
7,杭州,2020-01-08,10,3,阴,西北风,3级,51,良
8,杭州,2020-01-09,6,5,小雨,东北风,2级,70,良
9,杭州,2020-01-10,7,6,中雨,西北风,1级,29,优
10,杭州,2020-01-11,6,3,小雨~阴,东北风,2级,21,优
11,杭州,2020-01-12,9,2,多云,西北风,2级,55,良
12,杭州,2020-01-13,9,4,多云~阴,东北风,1级,99,良
13,杭州,2020-01-14,8,2,阴~多云,西北风,2级,115,轻度污染
14,杭州,2020-01-15,5,4,中雨,东北风,2级,86,良
15,杭州,2020-01-16,6,5,中雨~小雨,东北风,2级,21,优
16,杭州,2020-01-17,6,2,小雨~阴,东北风,3级,22,优
17,杭州,2020-01-18,5,2,阴,东北风,2级,40,优
18,杭州,2020-01-19,10,2,多云~晴,西北风,1级,52,良
19,杭州,2020-01-20,12,3,雾~晴,西北风,1级,73,良
20,杭州,2020-01-21,10,6,阴~小雨,东南风,1级,105,轻度污染
21,杭州,2020-01-22,8,6,中雨~小雨,西北风,1级,74,良
22,杭州,2020-01-23,8,7,中雨~小雨,东北风,2级,29,优
23,杭州,2020-01-24,8,6,小雨~中雨,东北风,3级,36,优
24,杭州,2020-01-25,7,6,大雨~中雨,东北风,3级,43,优
25,杭州,2020-01-26,7,4,中雨~小雨,西北风,3级,19,优
26,杭州,2020-01-27,7,3,阴,西北风,3级,22,优
27,杭州,2020-01-28,7,2,阴,西北风,2级,37,优
28,杭州,2020-01-29,10,3,多云,西北风,3级,61,良
29,杭州,2020-01-30,10,0,多云~晴,西北风,3级,89,良
30,杭州,2020-01-31,11,1,晴,西北风,2级,97,良
31,杭州,2020-02-01,13,2,晴~多云,东南风,2级,56,良
32,杭州,2020-02-02,12,6,多云~小雨,东南风,1级,43,优
33,杭州,2020-02-03,12,5,阴,东北风,2级,60,良
34,杭州,2020-02-04,11,3,阴~多云,东北风,2级,51,良
35,杭州,2020-02-05,12,4,阴,东北风,3级,44,优
36,杭州,2020-02-06,7,5,小雨~中雨,东南风,4级,32,优
37,杭州,2020-02-07,7,5,小雨~阴,东北风,2级,24,优
38,杭州,2020-02-08,8,3,阴~多云,东北风,2级,35,优
39,杭州,2020-02-09,13,3,多云~晴,西北风,1级,49,优
40,杭州,2020-02-10,16,8,多云~中雨,东南风,2级,39,优
41,杭州,2020-02-11,11,9,小雨,东南风,2级,34,优
42,杭州,2020-02-12,15,10,小雨~阴,东北风,1级,33,优
43,杭州,2020-02-13,15,12,小雨~阴,东南风,1级,31,优
44,杭州,2020-02-14,18,13,阴~小雨,东南风,1级,23,优
45,杭州,2020-02-15,14,0,小雨~雨夹雪,西北风,3级,18,优
46,杭州,2020-02-16,7,-2,阴~晴,西北风,4级,32,优
47,杭州,2020-02-17,11,-1,多云~晴,西北风,3级,33,优
48,杭州,2020-02-18,12,1,晴,东北风,1级,35,优
49,杭州,2020-02-19,11,4,阴~多云,东南风,2级,47,优
50,杭州,2020-02-20,16,5,晴,东北风,2级,49,优
51,杭州,2020-02-21,18,7,多云~阴,西南风,2级,33,优
52,杭州,2020-02-22,18,6,晴,西北风,2级,50,优
53,杭州,2020-02-23,18,10,晴~多云,东南风,2级,85,良
54,杭州,2020-02-24,26,14,多云~晴,西南风,2级,54,良
55,杭州,2020-02-25,28,11,多云~小雨,西北风,3级,62,良
56,杭州,2020-02-26,11,8,中雨~阴,东北风,2级,46,优
57,杭州,2020-02-27,11,8,阴,东北风,3级,46,优
58,杭州,2020-02-28,14,10,小雨,东北风,2级,48,优
59,杭州,2020-02-29,11,9,小雨,东北风,2级,23,优
60,杭州,2020-03-01,12,7,小雨~阴,西北风,2级,28,优
61,杭州,2020-03-02,11,7,阴~小雨,东北风,3级,34,优
62,杭州,2020-03-03,9,7,小雨,东北风,2级,45,优
63,杭州,2020-03-04,11,4,阴~多云,东北风,2级,51,良
64,杭州,2020-03-05,12,5,多云~晴,东北风,3级,41,优
65,杭州,2020-03-06,15,9,阴~小雨,东南风,2级,51,良
66,杭州,2020-03-07,18,9,阴~小雨,东北风,1级,41,优
67,杭州,2020-03-08,15,11,阴~大雨,东南风,3级,42,优
68,杭州,2020-03-09,16,10,小雨,西北风,3级,19,优
69,杭州,2020-03-10,13,6,阴~晴,西北风,3级,30,优
70,杭州,2020-03-11,17,9,多云~阴,东南风,2级,53,良
71,杭州,2020-03-12,15,9,阴,东南风,2级,54,良
72,杭州,2020-03-13,15,8,多云~阴,东北风,2级,57,良
73,杭州,2020-03-14,16,6,阴~多云,西北风,2级,30,优
74,杭州,2020-03-15,21,8,晴~多云,西南风,2级,51,良
75,杭州,2020-03-16,19,11,多云~阴,东北风,3级,54,良
76,杭州,2020-03-17,23,12,阴~多云,西南风,2级,51,良
77,杭州,2020-03-18,25,12,晴,西南风,2级,59,良
78,杭州,2020-03-19,25,9,多云~晴,东北风,3级,67,良
79,杭州,2020-03-20,26,13,晴,东南风,2级,69,良
80,杭州,2020-03-21,28,16,阴~雷阵雨,西南风,2级,55,良
81,杭州,2020-03-22,21,12,阴,东北风,2级,46,优
82,杭州,2020-03-23,17,11,阴,东北风,2级,29,优
83,杭州,2020-03-24,18,13,阴,东南风,2级,47,优
84,杭州,2020-03-25,26,17,阴~小雨,东南风,2级,52,良
85,杭州,2020-03-26,27,10,阴~雷阵雨,东南风,2级,61,良
86,杭州,2020-03-27,12,6,小雨~中雨,东北风,3级,29,优
87,杭州,2020-03-28,6,4,小雨~阴,东北风,3级,26,优
88,杭州,2020-03-29,7,5,中雨~小雨,东北风,2级,34,优
89,杭州,2020-03-30,10,9,小雨~阴,西北风,1级,22,优
90,杭州,2020-03-31,12,9,中雨~小雨,东北风,2级,29,优
91,杭州,2020-04-01,17,8,多云,东北风,2级,29,优
92,杭州,2020-04-02,17,10,多云~小雨,东北风,3级,52,良
93,杭州,2020-04-03,16,11,阴,东北风,2级,54,良
94,杭州,2020-04-04,19,9,多云,东北风,2级,73,良
95,杭州,2020-04-05,15,8,阴~小雨,东北风,2级,79,良
96,杭州,2020-04-06,13,8,阴,东北风,2级,52,良
97,杭州,2020-04-07,20,8,多云,东北风,2级,63,良
98,杭州,2020-04-08,23,10,多云,东南风,2级,68,良
99,杭州,2020-04-09,24,11,晴,东北风,2级,77,良
100,杭州,2020-04-10,24,14,多云~小雨,东北风,2级,99,良
101,杭州,2020-04-11,14,7,中雨~小雨,西北风,3级,83,良
102,杭州,2020-04-12,20,8,晴,西北风,3级,48,优
103,杭州,2020-04-13,21,9,晴~多云,西北风,2级,70,良
104,杭州,2020-04-14,20,12,阴,西南风,2级,76,良
105,杭州,2020-04-15,25,12,多云,西南风,2级,58,良
106,杭州,2020-04-16,28,17,多云,西南风,2级,68,良
107,杭州,2020-04-17,26,16,阴,西北风,2级,81,良
108,杭州,2020-04-18,18,14,小雨~中雨,东北风,3级,71,良
109,杭州,2020-04-19,17,11,小雨~阴,西北风,3级,54,良
110,杭州,2020-04-20,23,12,雾~小雨,东北风,2级,47,优
111,杭州,2020-04-21,15,11,小雨,东北风,3级,58,良
112,杭州,2020-04-22,20,12,多云~阴,东南风,2级,44,优
113,杭州,2020-04-23,20,10,多云,东北风,2级,58,良
114,杭州,2020-04-24,23,12,晴,西南风,2级,67,良
115,杭州,2020-04-25,26,14,阴,西南风,3级,79,良
116,杭州,2020-04-26,29,14,阴~多云,西南风,2级,86,良
117,杭州,2020-04-27,20,10,阴,东北风,3级,95,良
118,杭州,2020-04-28,24,12,晴,东风,3级,45,优
119,杭州,2020-04-29,30,18,晴,东南风,2级,78,良
120,杭州,2020-04-30,32,21,小雨,西南风,2级,103,轻度污染
121,杭州,2020-05-01,23,19,小雨,西南风,2级,110,轻度污染
122,杭州,2020-05-02,29,20,阴~晴,西南风,3级,78,良
123,杭州,2020-05-03,34,21,晴,西南风,2级,60,良
124,杭州,2020-05-04,36,20,晴~阴,东风,2级,99,良
125,杭州,2020-05-05,21,19,中雨~阴,东北风,2级,112,轻度污染
126,杭州,2020-05-06,22,19,小雨,东北风,2级,44,优
127,杭州,2020-05-07,25,20,阴~多云,东风,3级,45,优
128,杭州,2020-05-08,31,22,阴~小雨,南风,3级,45,优
129,杭州,2020-05-09,23,19,阴~雷阵雨,北风,2级,48,优
130,杭州,2020-05-10,23,17,小雨~多云,东北风,2级,49,优
131,杭州,2020-05-11,29,17,雾~多云,西北风,2级,54,良
132,杭州,2020-05-12,30,17,晴,西北风,2级,52,良
133,杭州,2020-05-13,31,20,阴~多云,东风,3级,102,轻度污染
134,杭州,2020-05-14,31,22,阴~小雨,南风,3级,130,轻度污染
135,杭州,2020-05-15,28,22,小雨~雷阵雨,西南风,2级,89,良
136,杭州,2020-05-16,30,21,小雨~多云,东北风,1级,49,优
137,杭州,2020-05-17,31,21,阴~多云,东南风,2级,56,良
138,杭州,2020-05-18,30,17,阴~晴,西北风,3级,59,良
139,杭州,2020-05-19,30,17,晴~多云,西北风,2级,64,良
140,杭州,2020-05-20,31,21,多云~阴,东南风,2级,99,良
141,杭州,2020-05-21,21,19,中雨~小雨,南风,2级,114,轻度污染
142,杭州,2020-05-22,25,18,小雨~阴,东南风,2级,42,优
143,杭州,2020-05-23,29,19,多云,东风,2级,72,良
144,杭州,2020-05-24,33,22,多云,东北风,2级,115,轻度污染
145,杭州,2020-05-25,29,20,阴~中雨,东北风,3级,125,轻度污染
146,杭州,2020-05-26,20,17,小雨~多云,东北风,2级,87,良
147,杭州,2020-05-27,27,20,阴~多云,东南风,2级,60,良
148,杭州,2020-05-28,27,20,阴,南风,2级,90,良
149,杭州,2020-05-29,26,19,小雨~暴雨,东风,2级,62,良
150,杭州,2020-05-30,20,18,中雨~阴,东风,3级,40,优
151,杭州,2020-05-31,31,21,阴~多云,西南风,2级,45,优
152,杭州,2020-06-01,32,20,阴~多云,东南风,2级,76,良
153,杭州,2020-06-02,30,22,阴~小雨,西南风,2级,55,良
154,杭州,2020-06-03,25,22,大雨~小雨,西北风,2级,20,优
155,杭州,2020-06-04,26,22,小雨,西南风,2级,20,优
156,杭州,2020-06-05,29,21,阴~中雨,东南风,2级,23,优
157,杭州,2020-06-06,26,20,小雨~多云,东北风,3级,25,优
158,杭州,2020-06-07,29,22,阴,东风,3级,39,优
159,杭州,2020-06-08,28,23,阴~多云,东风,3级,57,良
160,杭州,2020-06-09,32,23,阴,东风,2级,42,优
161,杭州,2020-06-10,30,24,中雨~小雨,东北风,1级,34,优
162,杭州,2020-06-11,30,25,中雨~阴,东风,2级,21,优
163,杭州,2020-06-12,35,26,阴~多云,西南风,2级,30,优
164,杭州,2020-06-13,36,26,阴~多云,西南风,2级,40,优
165,杭州,2020-06-14,36,26,阴,西北风,2级,37,优
166,杭州,2020-06-15,32,25,阴~小雨,东北风,2级,38,优
167,杭州,2020-06-16,32,25,阴,东北风,2级,57,良
168,杭州,2020-06-17,36,27,阴~多云,西南风,2级,33,优
169,杭州,2020-06-18,34,22,阴~中雨,西风,3级,29,优
170,杭州,2020-06-19,23,21,中雨,北风,2级,35,优
171,杭州,2020-06-20,21,20,大雨~小雨,东北风,2级,29,优
172,杭州,2020-06-21,22,20,暴雨~大雨,东南风,1级,29,优
173,杭州,2020-06-22,24,22,小雨~阴,东北风,2级,25,优
174,杭州,2020-06-23,32,25,阴~中雨,西南风,1级,58,良
175,杭州,2020-06-24,25,23,小雨~中雨,东北风,2级,31,优
176,杭州,2020-06-25,24,22,大雨~小雨,西南风,1级,28,优
177,杭州,2020-06-26,33,24,阴~小雨,东南风,1级,32,优
178,杭州,2020-06-27,27,25,大雨~阴,西南风,2级,19,优
179,杭州,2020-06-28,34,26,阴~小雨,东风,2级,50,优
180,杭州,2020-06-29,30,23,小雨~大雨,西南风,2级,29,优
181,杭州,2020-06-30,30,23,阴~小雨,东北风,2级,47,优
182,杭州,2020-07-01,29,23,阴,东北风,3级,66,良
183,杭州,2020-07-02,30,25,阴~中雨,东风,2级,32,优
184,杭州,2020-07-03,27,23,中雨~小雨,西南风,2级,14,优
185,杭州,2020-07-04,25,22,中雨~大雨,东北风,2级,46,优
186,杭州,2020-07-05,28,25,小雨~中雨,南风,1级,28,优
187,杭州,2020-07-06,27,24,大雨~中雨,西南风,2级,26,优
188,杭州,2020-07-07,28,24,阴~中雨,西南风,2级,20,优
189,杭州,2020-07-08,27,24,小雨~中雨,西南风,2级,16,优
190,杭州,2020-07-09,30,25,小雨~多云,东北风,2级,36,优
191,杭州,2020-07-10,26,24,中雨,东风,2级,32,优
192,杭州,2020-07-11,32,26,小雨~阴,东南风,2级,56,良
193,杭州,2020-07-12,36,26,阴,西南风,2级,42,优
194,杭州,2020-07-13,34,23,阴~小雨,西北风,2级,30,优
195,杭州,2020-07-14,28,23,阴~小雨,东北风,2级,37,优
196,杭州,2020-07-15,24,21,小雨~中雨,东北风,2级,35,优
197,杭州,2020-07-16,22,22,小雨,东北风,2级,20,优
198,杭州,2020-07-17,28,24,阴~多云,东风,1级,48,优
199,杭州,2020-07-18,32,26,阴~多云,西南风,2级,46,优
200,杭州,2020-07-19,35,24,阴~小雨,西南风,3级,37,优
201,杭州,2020-07-20,26,24,阴~小雨,东北风,2级,35,优
202,杭州,2020-07-21,36,25,阴,东北风,1级,48,优
203,杭州,2020-07-22,36,27,阴~多云,西南风,2级,38,优
204,杭州,2020-07-23,36,25,多云~小雨,西南风,3级,39,优
205,杭州,2020-07-24,26,20,小雨,北风,2级,24,优
206,杭州,2020-07-25,25,22,小雨~阴,西北风,1级,30,优
207,杭州,2020-07-26,27,24,中雨~阴,东风,2级,28,优
208,杭州,2020-07-27,33,25,阴~多云,东南风,1级,25,优
209,杭州,2020-07-28,34,26,阴~多云,东北风,2级,56,良
210,杭州,2020-07-29,35,26,阴~多云,东北风,2级,49,优
211,杭州,2020-07-30,36,26,多云~阴,东南风,2级,36,优
212,杭州,2020-07-31,34,26,阴,东南风,3级,24,优
213,杭州,2020-08-01,36,27,阴~多云,南风,3级,25,优
214,杭州,2020-08-02,36,27,多云,南风,3级,28,优
215,杭州,2020-08-03,35,26,多云,东南风,3级,25,优
216,杭州,2020-08-04,31,25,小雨,东北风,3级,30,优
217,杭州,2020-08-05,35,27,阴~多云,南风,3级,26,优
218,杭州,2020-08-06,34,28,多云,西南风,3级,27,优
219,杭州,2020-08-07,34,27,阴~小雨,西南风,3级,38,优
220,杭州,2020-08-08,33,26,阴,西南风,2级,23,优
221,杭州,2020-08-09,35,27,多云,西南风,2级,33,优
222,杭州,2020-08-10,36,27,多云~阴,西南风,2级,43,优
223,杭州,2020-08-11,37,27,多云,南风,2级,50,优
224,杭州,2020-08-12,36,28,晴~多云,南风,3级,25,优
225,杭州,2020-08-13,37,28,多云~晴,西南风,3级,37,优
226,杭州,2020-08-14,38,27,多云~晴,西南风,2级,37,优
227,杭州,2020-08-15,39,28,晴,南风,2级,51,良
228,杭州,2020-08-16,38,27,晴,东南风,2级,38,优
229,杭州,2020-08-17,38,28,晴,东南风,2级,46,优
230,杭州,2020-08-18,36,28,晴,东南风,2级,48,优
231,杭州,2020-08-19,38,28,晴,东南风,2级,45,优
232,杭州,2020-08-20,38,27,晴,东南风,2级,53,良
233,杭州,2020-08-21,36,27,阴~多云,东风,2级,57,良
234,杭州,2020-08-22,37,27,多云,东南风,2级,46,优
235,杭州,2020-08-23,36,26,晴,东风,2级,36,优
236,杭州,2020-08-24,37,28,晴,东风,2级,58,良
237,杭州,2020-08-25,37,27,阴~小雨,西北风,2级,41,优
238,杭州,2020-08-26,35,26,小雨~多云,西北风,3级,35,优
239,杭州,2020-08-27,33,23,阴~小雨,东北风,2级,43,优
240,杭州,2020-08-28,29,25,大雨~小雨,西北风,2级,32,优
241,杭州,2020-08-29,29,23,小雨~多云,西北风,2级,27,优
242,杭州,2020-08-30,35,25,多云~晴,东风,2级,58,良
243,杭州,2020-08-31,34,26,多云~阴,东北风,2级,35,优
